freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 508704167, 0, -1771.836182, 925.313049, 1198.196411, 1, 0, 0, 0, 11.78
M, 508708333, 0, -1767.321289, 927.314697, 1198.740234, 1, 0, 0, 0, 11.75
M, 508712500, 0, -1762.508789, 929.261353, 1199.181519, 1, 0, 0, 0, 11.57
M, 508716667, 0, -1757.711548, 931.185486, 1199.755981, 1, 0, 0, 0, 11.55
M, 508720833, 0, -1752.772949, 933.120361, 1200.295776, 1, 0, 0, 0, 11.52
M, 508725000, 0, -1747.905884, 935.064636, 1200.790039, 1, 0, 0, 0, 11.50
M, 508729167, 0, -1743.067139, 936.943970, 1201.314087, 1, 0, 0, 0, 11.47
M, 508733333, 0, -1738.147827, 938.780212, 1201.872314, 1, 0, 0, 0, 11.45
M, 508737500, 0, -1733.028320, 940.699829, 1202.420654, 1, 0, 0, 0, 11.42
M, 508741667, 0, -1728.061035, 942.506653, 1202.890991, 1, 0, 0, 0, 11.40
M, 508745833, 0, -1722.964233, 944.281372, 1203.424194, 1, 0, 0, 0, 11.37
M, 508750000, 0, -1717.744995, 946.070313, 1204.034302, 1, 0, 0, 0, 11.35
M, 508754167, 0, -1712.740601, 947.843384, 1204.498413, 1, 0, 0, 0, 11.32
M, 508758333, 0, -1707.440552, 949.561951, 1205.070313, 1, 0, 0, 0, 11.30
M, 508762500, 0, -1702.319946, 951.301880, 1205.614624, 1, 0, 0, 0, 11.27
M, 508766667, 0, -1697.174927, 953.037415, 1206.064575, 1, 0, 0, 0, 11.40
M, 508770833, 0, -1691.848145, 954.770996, 1206.698486, 1, 0, 0, 0, 11.22
M, 508775000, 0, -1686.888062, 956.731201, 1207.459839, 1, 0, 0, 0, 10.27
M, 508779167, 0, -1681.584473, 958.511719, 1208.220459, 1, 0, 0, 0, 10.28
M, 508783333, 0, -1676.368408, 960.215881, 1208.723389, 1, 0, 0, 0, 11.61
M, 508787500, 0, -1671.018066, 961.864319, 1209.306519, 1, 0, 0, 0, 11.58
M, 508791667, 0, -1665.693604, 963.535217, 1209.854492, 1, 0, 0, 0, 11.55
